2, Sweet, Tasting, Tomato
6, Spicy, Salty, AmericanFood
5, Light, Aroma, Meat
5, AmericanFood, Aroma, Tasting
7, Spicy, Sweet, AmericanFood
7, Surprise, Fish, Spicy
9, Sweet, AmericanFood, Spicy
6, Consistent, Salty, Meat
10, Asian, Surprise, Italian
7, Spicy, Surprise, Seasoned
10, Light, Circular, Spicy
10, Asian, Strong, Spicy
9, Spicy, Salty, Meat
7, Spicy, Light, Meat
9, Spicy, Seasoned, AmericanFood
8, Refined, Consistent, Strong
6, Surprise, Seasoned, Tomato
6, Seasoned, Light, Surprise
5, Tasting, Sweet, Strong
5, Fish, AmericanFood, Salty
9, Circular, Surprise, Consistent
9, Strong, Italian, Sweet
8, Salty, Italian, Consistent
5, Seasoned, Spicy, Meat
9, Aroma, Seasoned, Tasting
8, Surprise, Tasting, Circular
6, Salty, Circular, Sweet
5, Tasting, Sweet, Refined
6, Italian, Spicy, Consistent
5, Asian, Sweet, AmericanFood
10, Spicy, Consistent, Italian
10, Asian, Spicy, Circular
5, Sweet, Seasoned, AmericanFood
8, Sweet, Spicy, Italian
10, Circular, Salty, Spicy
6, Seasoned, Aroma, Circular
5, Spicy, Tasting, Surprise
8, Surprise, Salty, Aroma
5, Salty, Seasoned, Spicy
8, Spicy, Aroma, AmericanFood
8, Spicy, Meat, Light
9, Strong, Tasting, Asian
9, Consistent, Meat, Tasting
9, AmericanFood, Asian, Flavor
6, Sweet, Surprise, Tomato
10, Seasoned, Fish, Strong
5, Tomato, Strong, Refined
10, Consistent, Spicy, AmericanFood
7, Tasting, Consistent, Salty
8, Sweet, Salty, Consistent
9, Sweet, Spicy, Tomato
9, Circular, Seasoned, Aroma
5, Strong, Tasting, Spicy
5, Aroma, Seasoned, Spicy
9, Surprise, Spicy, Spicy
6, Sweet, Meat, Sweet
9, Tasting, Italian, Surprise
9, Surprise, Refined, Light
7, Asian, Sweet, Salty
7, Surprise, Fish, Light
8, Spicy, Sweet, AmericanFood
5, Fish, Meat, Strong
10, Seasoned, Meat, Italian
8, Aroma, Salty, Sweet
8, Salty, Seasoned, Tomato
10, Asian, Strong, Sweet
9, Spicy, Light, Meat
5, Sweet, Spicy, Fish
10, Tomato, AmericanFood, Surprise
8, Italian, Surprise, Strong
5, Salty, Tasting, Meat
6, Spicy, Salty, Surprise
6, Strong, Spicy, Aroma
8, Tasting, Aroma, Strong
7, Spicy, Meat, Light
7, Fish, Salty, Surprise
6, AmericanFood, Light, Spicy
9, Consistent, AmericanFood, Tomato
9, Consistent, Spicy, AmericanFood
10, Meat, Italian, Spicy
5, Spicy, Light, Meat
10, Asian, Surprise, Tasting
5, Refined, Surprise, Tasting
7, Italian, Flavor, Meat
7, Aroma, Salty, Asian
8, Aroma, Sweet, Fish
10, Sweet, Spicy, Strong
10, Aroma, Surprise, Sweet
10, Tomato, Refined, Spicy
10, Tasting, Consistent, Circular
10, Soft, Consistent, Light
6, Fish, Seasoned, Spicy
9, Fish, Consistent, Spicy
6, Spicy, Strong, Seasoned
8, AmericanFood, Spicy, Spicy
9, Soft, Consistent, Light
8, Circular, Consistent, Salty
10, Circular, Sweet, Spicy
6, Sweet, Strong, Sweet
9, Circular, Consistent, Seasoned
9, Fish, Spicy, Tomato
5, Refined, Tomato, Seasoned
8, Fish, Asian, Consistent
8, Consistent, Spicy, Surprise
8, Sweet, AmericanFood, Spicy
5, Spicy, Light, Tasting
9, Consistent, Salty, Spicy
7, Seasoned, Asian, Spicy
5, Spicy, Consistent, Surprise
5, Tasting, Meat, Aroma
9, Italian, Spicy, AmericanFood
7, Asian, Spicy, Seasoned
8, Sweet, Strong, Spicy
5, Spicy, Sweet, Italian
5, Spicy, Sweet, Fish
10, AmericanFood, Consistent, Italian
10, Surprise, Sweet, Circular
6, Consistent, Aroma, Sweet
6, Seasoned, Aroma, Surprise
9, Spicy, Consistent, Asian
6, Consistent, Asian, Spicy
5, Seasoned, Sweet, Tasting
7, Light, Italian, Sweet
7, Asian, Fish, Tomato
10, Seasoned, Spicy, Meat
6, AmericanFood, Consistent, Light
10, Consistent, Sweet, Meat
7, Fish, Spicy, Consistent
8, Sweet, Sweet, Surprise
7, Spicy, Light, Fish
10, Spicy, Asian, Circular
8, Italian, Consistent, Tasting
9, Aroma, Consistent, Asian
8, Italian, Asian, Circular
6, Sweet, Consistent, Surprise
10, Strong, Spicy, Spicy
7, Italian, Spicy, Tomato
9, Aroma, Consistent, Seasoned
6, AmericanFood, Consistent, Refined
8, Salty, Tasting, Asian
9, Spicy, Fish, Spicy
7, Refined, Spicy, Tomato
9, Salty, Fish, Seasoned
7, Aroma, Consistent, Circular
6, Spicy, Surprise, AmericanFood
8, Spicy, Surprise, Italian
6, Tasting, Meat, Sweet
6, Sweet, Meat, Sweet
10, Refined, AmericanFood, Asian
7, Salty, Spicy, Tasting
9, Asian, Surprise, Consistent
8, Consistent, Spicy, Salty
8, Italian, Tomato, Seasoned
10, AmericanFood, Surprise, Strong
5, Aroma, Asian, Surprise
5, Sweet, Aroma, Spicy
7, Spicy, Circular, Fish
6, Asian, Circular, Meat
6, Meat, Asian, Fish
8, Sweet, Circular, Meat
9, Sweet, Surprise, Consistent
9, Salty, Refined, Aroma
8, Sweet, Seasoned, Light
10, Spicy, Light, Salty
10, Sweet, AmericanFood, Refined
9, Hot, Seasoned, Spicy
7, Consistent, AmericanFood, Spicy
8, AmericanFood, Meat, Light
6, Tomato, Fish, Sweet
9, Sweet, Tasting, Spicy
10, Sweet, Seasoned, Light
8, Seasoned, Consistent, Strong
8, Tasting, Spicy, AmericanFood
6, Strong, Surprise, Consistent
7, Sweet, Sweet, Spicy
10, Seasoned, Consistent, AmericanFood
9, Meat, Strong, Light
9, Consistent, Tasting, Sweet
10, Tomato, Salty, Surprise
5, Meat, Fish, Sweet
10, Salty, Seasoned, Refined
5, Spicy, Seasoned, Sweet
7, AmericanFood, Tasting, Strong
10, Surprise, Consistent, Light
9, Refined, Salty, Spicy
6, Tasting, Italian, Seasoned
8, Refined, Tomato, Tasting
6, Spicy, Sweet, Surprise
7, Spicy, Tasting, Sweet
7, Tasting, Refined, Meat
7, Salty, Aroma, Spicy
7, Spicy, Spicy, Light
5, Aroma, Tasting, Seasoned
8, Circular, Refined, Strong
6, Spicy, Refined, Spicy
6, Spicy, Asian, Consistent
5, Tasting, AmericanFood, Spicy
6, Spicy, Spicy, Tomato
5, Surprise, Light, Spicy
10, Spicy, Spicy, Fish
9, Salty, Meat, Sweet
6, Italian, Meat, Tomato
5, Soft, Consistent, Circular
6, AmericanFood, Spicy, Strong
8, Asian, Spicy, Consistent
6, Meat, Surprise, Italian
6, Italian, Surprise, Spicy
8, Light, Asian, Sweet
9, Consistent, Seasoned, Light
7, Sweet, Italian, Spicy
8, Sweet, Strong, Refined
8, Asian, Seasoned, Surprise
6, Spicy, Spicy, Light
6, Italian, Consistent, Fish
9, Italian, Spicy, Light
9, Tasting, Meat, Seasoned
8, Light, Sweet, Tomato
6, Asian, AmericanFood, Tasting
9, Tasting, Meat, Asian
9, Tasting, Surprise, Italian
6, Spicy, Meat, Spicy
10, Hot, Spicy, Italian
7, Meat, Light, Seasoned
9, Spicy, Consistent, Light
6, Fish, Salted, Consistent
6, Consistent, Salty, Tasting
8, Asian, Meat, Sweet
5, Refined, Tomato, Circular
9, Sweet, Fish, Tomato
10, Asian, Sweet, Spicy
5, Seasoned, Fish, Strong
9, Fish, Tomato, Tasting
10, Seasoned, Light, Salty
9, Tomato, Sweet, Asian
7, Tomato, Fish, Circular
7, Aroma, Sweet, Meat
7, Fish, Spicy, Light
9, Asian, AmericanFood, Fish
9, Meat, Aroma, Spicy
10, Salty, Light, Sweet
7, Spicy, Asian, Sweet
7, Asian, Strong, Seasoned
10, Refined, Strong, Meat
8, Tomato, AmericanFood, Sweet
10, Italian, Consistent, Surprise
7, Fish, Sweet, Italian
8, AmericanFood, Aroma, Salty
5, Circular, Spicy, Refined
5, Tomato, Italian, Surprise
5, Seasoned, Salted, Tomato
9, Spicy, Meat, Circular
8, Meat, Salty, Consistent
7, Spicy, Strong, Consistent
8, Italian, Spicy, Asian
7, Salty, Consistent, Strong
8, Consistent, Salty, Spicy
10, Spicy, Circular, Meat
5, Circular, Refined, Tasting
9, Consistent, Tasting, Strong
8, Salty, Surprise, Tasting
10, Consistent, Tomato, AmericanFood
9, Spicy, Refined, Spicy
6, Salty, Spicy, Italian
8, Refined, Spicy, Tasting
9, Asian, Surprise, Spicy
9, Salty, Meat, Refined
5, Strong, Spicy, Aroma
6, Spicy, AmericanFood, Salty
5, Aroma, Meat, Refined
7, Light, Salty, Tomato
10, AmericanFood, Surprise, Consistent
9, Seasoned, Salty, Italian
9, Light, Aroma, Fish
5, Salty, Consistent, Fish
9, AmericanFood, Aroma, Spicy
6, Italian, Spicy, Tasting
8, Sweet, Salty, Fish
5, Italian, Spicy, Tasting
5, Salty, Meat, Sweet
7, Surprise, Refined, Consistent
8, AmericanFood, Tasting, Savory
7, Spicy, Seasoned, Meat
6, Salty, Surprise, Light
8, AmericanFood, Aroma, Sweet
8, Tasting, Strong, Spicy
5, Fish, Sweet, Spicy
6, Tasting, Spicy, Salty
8, Italian, Tomato, Fish
5, Surprise, Asian, Salty
7, Aroma, Refined, Strong
5, Meat, Circular, Light
7, Salty, Asian, Aroma
10, Light, Seasoned, Spicy
8, AmericanFood, Sweet, Tasting
7, Light, Tasting, Spicy
7, AmericanFood, Asian, Spicy
8, Italian, Sweet, Sweet
6, Spicy, Circular, Spicy
8, Sweet, Salty, Spicy
6, Spicy, Tasting, Sweet
6, Surprise, Fish, AmericanFood
10, Asian, Meat, Spicy
6, Salty, Spicy, Sweet
5, Aroma, Sweet, Asian
6, Meat, AmericanFood, Spicy
8, Circular, Spicy, Tomato
5, Consistent, Meat, Salted
9, Aroma, Asian, Circular
8, Spicy, Asian, Fish
7, Fish, Strong, Italian
5, Seasoned, Refined, Spicy
6, AmericanFood, Flyer, Tasting
9, Refined, Circular, Italian
5, Spicy, Strong, Asian
